"359923899","352685446","РКАП","Кафедра ""Ракетно-космическое и авиационное приборостроение""","2 уровень","4"
"359951204","544860","БД","Кафедра ""Банковское дело""","2 уровень","4"
"359963177","31391769","УСРиСК","Управление стратегического развития и системы качества","1 уровень","2"
"359963785","359963177","ОМК","Отдел менеджмента качества","2 уровень","3"
"359963868","359963177","ОСПиР","Отдел стратегического планирования и развития","2 уровень","3"
"359963951","359963177","ОМиРИ","Отдел мониторинга и рейтинговых исследований","2 уровень","3"
"359966428","544830","О организации ПС","Отдел организации практик студентов","2 уровень","4"
"362701890","359919263","ОРОИС","Отдел по ремонту и обслуживанию инженерных сетей","2 уровень","4"
"362749473","31391769","Первый проректор","Первый проректор",,"2"
"362752215","352685446","ИСиТ","Кафедра ""Информационные системы и технологии""","2 уровень","4"
"362982939","78859500","КРС","Контрольно-ревизионная служба","2 уровень","3"
"364401829","79158702","НИИ ФиПИ","Научно-исследовательский институт фундаментальных и прикладных исследований","1 уровень","3"
"364403078","352685446","ЦКП","Центр коллективного пользования","2 уровень","4"
"364403759","364401829","НИЦ по ПСФ","Научно-исследовательский центр по проблемам современного федерализма","2 уровень","4"
"364405745","364401829","НН ВБИ","Научное направление ""Вихревая биомедицинская инженерия""","2 уровень","4"
"364405830","364401829","НН ККВсИНПБК","Научное направление ""Континуально-квантовые вычисления с использованием нейросетевых преобразователей биометрия-код""","2 уровень","4"
"364414527","364401829","НН ПЭТ","Научное направление ""Природоохранные (экологические) технологии""","2 уровень","4"
"364491790","364401829","НН БССиТ","Научное направление ""Беспроводные системы, сети и технологии""","2 уровень","4"
"364551403","364401829","НН ФБМ","Научное направление ""Функциональная биохимия мозга""","2 уровень","4"
"364571133","364401829","НН РОФРН.ДИПК","Научное направление ""Региональные особенности формирования российской нации. Документальная история Пензенского края""","2 уровень","4"
"364574608","364401829","НН ИФРиО. Гербарий","Научное направление ""Изучение флоры и растительности, и их охрана. Гербарий им. И.И. Спрыгина""","2 уровень","4"
"364574945","364401829","НН ФЭГиМЖ","Научное направление ""Фауна, экология, генетика и морфология животных Поволжья и смежных регионов""","2 уровень","4"
"365018172","60391072","ОИК","Отдел интернет-коммуникаций","2 уровень","4"
"365038313","545082","КиИМ","Кафедра ""Контроль и испытание материалов""","3 уровень","5"
"369416298","352635381","СК","Спортивный клуб","2 уровень","4"
"385709285","31372558","ЦТИГ","Центр тестирования иностранных граждан","3 уровень","5"
"386785944","5115015","ОСТВ","Отдел содействия трудоустройству выпускников","2 уровень","4"
"386786048","5115015","ОКР","Отдел кадровых ресурсов","2 уровень","4"
"393321293","118012647","МЗН","Музей занимательной науки","2 уровень","4"
"408499133","352685446","АСБ","Кафедра ""Автоматизированные системы безопасности""","2 уровень","4"
"428881816","352685446","ТСИБ","Кафедра ""Технические средства информационной безопасности""","2 уровень","4"
"442575057","161624948","ЛИТ","Лаборатория интернет-технологий","3 уровень","5"
"448272881","364401829","БКВПТ","Базовые и критические военные и промышленные технологии для создания перспективных видов вооружения, военной и специальной техники","2 уровень","4"
"448461764","352685446","ПиТЭПР","Кафедра ""Проектирование и технология электронных приборов радиоэлектроники""","2 уровень","4"
"454888186","369416298","ССК","Студенческий спортивный клуб","3 уровень","5"
"472882310","31433114","ОКПД","Отдел культурно-проектной деятельности","1 уровень","3"
"473589188","78859500","Служба ОР","Служба обеспечения режима","2 уровень","3"
"479007994","177579741","Диагност. отделение","Диагностическое отделение","2 уровень","4"
"493802882","544860","ЦПСпоАУ","Центр подготовки специалистов по антикризисному управлению","2 уровень","4"
"493802965","544860","ЦТС","Центр таможенного сервиса","2 уровень","4"
"493803064","352685446","РУНЦ ИБ","Региональный учебно-научный центр ""Информационная безопасность""","2 уровень","4"
"493803157","27505334","ЦППЧО","Центр профессиональной подготовки частных охранников","3 уровень","5"
"493803322","27505334","ЦПиПК СпоБиА","Центр подготовки и повышения квалификации специалистов по безопасности и антитеррору","3 уровень","5"
"493805778","352685446","ГМ ЦОТ","Государственный межотраслевой центр охраны труда","2 уровень","4"
"494264498","362749473","ЦКСИО","Центр комплексного сопровождения инклюзивного образования","1 уровень","3"
"499534953","27505334","ЦПКиРСОТ","Центр повышения квалификации и развития современных образовательных технологий","3 уровень","5"
